Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Conference,Book,Source,Inventors,Patent office,Patent number,Application number,Institution
Skin detection in video under uncontrolled illumination,"Tilendra Choudhary, LN Sharma, MK Bhuyan",2018/3/22,,,,IEEE,"In this paper, a variational mode decomposition (VMD) based heartbeat extraction framework is proposed for seismocardiogram (SCG) signal. A reference cardiac signal such as ECG is not needed in our proposed method. The proposed method consists of four major steps: signal decomposition using VMD algorithm, heart rate (HR) envelope construction, low pass filtering of constructed envelope, and annotation of smoothed envelope. The method annotates the HR envelope in terms of characteristic points such as PZCI, NZCI, PI, and TI. Each of the characteristic points can be used for SCG cycle extraction. The proposed method is tested and validated with CEBS database available at the Physionet archieve. Based on the experimental results, it is observed that the proposed method with peak instances (PI) achieves consistent results with good accuracy among all. The qualitative analysis of performance results …",12,"Standalone heartbeat extraction in SCG signal using variational mode decomposition
T Choudhary, LN Sharma, MK Bhuyan - … on Wireless Communications, Signal Processing and …, 2018
Cited by 12 Related articles All 2 versions","{'2018': 1, '2019': 1, '2020': 3, '2021': 4, '2022': 3}",1-4,"2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",,,,,,,
Colonoscopic polyp classification using local shape and texture features,"Soumayan Dutta, Pradipta Sasmal, MK Bhuyan, Yuji Iwahori",2018/3/22,,,,IEEE,"Automatic segmentation of colorectal polyps from endoscopic images forms an interesting challenge in computer vision. The method proposed in this paper intends to segment colorectal polyp (abnormal) regions from normal regions from a given endoscopic image. Due to lack of any regular texture patterns in this kind of images and apparent visual similarity in background and foreground pixels, conventional texture feature extraction and classification methods do not always yield good results. Hence, active contour based method has been explored to automatically segment out probable abnormal region(s). Our aim is to automatically detect the probable polyp region(s) and then verify the results with respect to the ground truth. Due to lack of very definitive edge criteria along the boundaries of a polyp, we used “active contour without edges” instead of classical active contour.",7,"Automatic segmentation of polyps in endoscopic image using level-set formulation
S Dutta, P Sasmal, MK Bhuyan, Y Iwahori - … on Wireless Communications, Signal Processing and …, 2018
Cited by 7 Related articles","{'2019': 2, '2020': 1, '2021': 1, '2022': 3}",1-5,"2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",,,,,,,
Video Searching and Retrieval using Scene Classification in Multimedia Databases,"Mithoon Kumar, Tilendra Choudhary, MK Bhuyan",2018/3/22,,,,IEEE,"This paper presents a new framework to magnify small motions present in videos, which are invisible to the naked eyes. The proposed method is based on spatial coordinates. It has an ability to magnify motions of our interest in presence of large background motions as well as static background. It is assumed that the camera is static when the video is recorded. Initially, regions of interest (RoI) are detected in our method, which need to be magnified. Histogram of oriented gradients (HoG) with thresholding is used to estimate the RoIs. Subsequently, a feature point tracker is used to detect the motion of feature points with respect to time. Finally, the velocity of these feature points are amplified by a magnification factor, which results in a video with small motions amplified. The proposed method provides a newly introduced block based spiral search technique for automatically detecting RoIs. The qualitative analysis of …",1,"Small Motion Magnification Using Automated RoI Selection and Spatial Co-ordinate Approach
M Kumar, T Choudhary, MK Bhuyan - … on Wireless Communications, Signal Processing and …, 2018
Cited by 1 Related articles All 2 versions",{'2021': 1},1-4,"2018 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)",,,,,,,
Detection of polyps in colonoscopic videos using saliency map-based modified particle filter,"Tilendra Choudhary, LN Sharma, Manas Kamal Bhuyan",2018/2/2,IEEE Signal Processing Letters,25.0,4,IEEE,"The phonocardiogram (PCG) signal indicates closing instants of atrio-ventricular and semilunar valves, and this information can also be extracted from two major profiles of a seismocardiographic (SCG) cycle. This letter presents a method to extract fundamental heart sounds (HSs) from a SCG signal. The proposed method employs discrete wavelet transform for signal decomposition, and subsequently, center of gravity (CoG) of power spectrum for each of the subbands is computed. Our method can optimally select wavelet subbands for any combination of sampling frequencies of the signal and number of decomposition levels. Based on proposed CoG criterion, the signal is reconstructed from a number of selected subbands, and instantaneous Hilbert envelope is constructed for localizing peaks of the signal. Finally, a simple decision rule is applied to annotate S1 and S2 sounds of the PCG signal. Experimental …",27,"Heart sound extraction from sternal seismocardiographic signal
T Choudhary, LN Sharma, MK Bhuyan - IEEE Signal Processing Letters, 2018
Cited by 27 Related articles All 2 versions","{'2018': 4, '2019': 7, '2020': 7, '2021': 1, '2022': 7, '2023': 1}",482-486,,,,,,,,
An adaptive thresholding-based movement epenthesis detection technique using hybrid feature set for continuous fingerspelling recognition,"Biplab Ketan Chakraborty, Debajit Sarma, Manas Kamal Bhuyan, Karl F MacDorman",2018/2,,12.0,1,The Institution of Engineering and Technology,"The ability of computers to recognise hand gestures visually is essential for progress in human–computer interaction. Gesture recognition has applications ranging from sign language to medical assistance to virtual reality. However, gesture recognition is extremely challenging not only because of its diverse contexts, multiple interpretations, and spatio‐temporal variations but also because of the complex non‐rigid properties of the hand. This study surveys major constraints on vision‐based gesture recognition occurring in detection and pre‐processing, representation and feature extraction, and recognition. Current challenges are explored in detail.",167,"Review of constraints on vision‐based gesture recognition for human–computer interaction
BK Chakraborty, D Sarma, MK Bhuyan, KF MacDorman - IET Computer Vision, 2018
Cited by 167 Related articles All 7 versions","{'2018': 7, '2019': 20, '2020': 37, '2021': 36, '2022': 52, '2023': 13}",3-15,,,IET Computer Vision,,,,,
Computational learning of features for automated colonic polyp classification,"AJ Deka, P Bharathi, K Pandya, M Bandyopadhyay, M Bhuyan, RK Yadav, H Tyagi, A Gahlaut, A Chakraborty",2018/1/28,Journal of Applied Physics,123.0,4,AIP Publishing LLC,"The Doppler Shift Spectroscopy (DSS) diagnostic is in the conceptual stage to estimate beam divergence, stripping losses, and beam uniformity of the 100 keV hydrogen Diagnostics Neutral Beam of International Thermonuclear Experimental Reactor. This DSS diagnostic is used to measure the above-mentioned parameters with an error of less than 10%. To aid the design calculations and to establish a methodology for estimation of the beam divergence, DSS measurements were carried out on the existing prototype ion source RF Operated Beam Source in India for Negative ion Research. Emissions of the fast-excited neutrals that are generated from the extracted negative ions were collected in the target tank, and the line broadening of these emissions were used for estimating beam divergence. The observed broadening is a convolution of broadenings due to beam divergence, collection optics, voltage ripple …",12,"Evaluation of beam divergence of a negative hydrogen ion beam using Doppler shift spectroscopy diagnostics
AJ Deka, P Bharathi, K Pandya, M Bandyopadhyay… - Journal of Applied Physics, 2018
Cited by 12 Related articles All 3 versions","{'2018': 2, '2019': 2, '2020': 4, '2021': 2, '2022': 2}",043307,,,,,,,,
Recovering shape from endoscope image using eikonal equation,"MJ Singh, AK Chakraborty, Mainak Bandyopadhyay, Jaydeep Joshi, Hitesh Patel, Sejal Shah, Agrajit Gahlaut, Ashish Yadav, Deepak Parmar, Dheeraj Sharma, Dhananjay Singh, Himanshu Tyagi, Kaushal Joshi, Kaushal Pandya, MV Nagaraju, Manas Bhuyan, Milind Patel, Ratnakar Yadav, Suraj Pillai, D Boilson, J Chareyre, B Schunke, C Rotti",2018,,,IAEA-CN--258,,"Indian Test Facility (INTF) is a R&D facility under development at Institute for Plasma research (IPR), Gandhinagar as a part of the neutral beam development from negative ion source (NNBI) program. The major advantage of the INTF besides developing the beams from large ion sources is to characterize and benchmark the ITER Diagnostic Neutral Beam (DNB) to the desired specifications over transport lengths of~ 21m, a unique feature of this test bed. Such a study will enable establish the expected power to be delivered by DNB into the ITER plasma, an important parameter to estimate the S/N ratio expected from the He ash measurements by charge exchange recombination spectroscopy (CXRS). It may be noted that DNB is a procurement package for INDIA, as an in-kind contribution to ITER. Extensive physics and thermomechanical calculations have been performed to finalise the component design and layout. Adequate choice of materials, manufacturing and jointing processes compatible to ITER safety standards has been made in order to make the components adhere to the safety and quality classification thereby ensuring that the components survive the ITER life time while operating in harsh nuclear environments. The components are currently in various phases of manufacturing and the first operations INTF are anticipated in Q4 of 2019.",0,"R&D Status of Indian Test Facility for ITER DNB Characterization
MJ Singh, AK Chakraborty, M Bandyopadhyay, J Joshi… - 2018
Related articles All 3 versions",{},,,,,,,,,
Automatic Generation of Polyp Image using Depth Map for Endoscope Dataset,"M Bhuyan, A Sarmah, KK Gajrani, A Pandey, TG Thulkar, MR Sankar",2018/1/1,,5.0,9,Elsevier,"Most of the machining process use cutting fluids for better cooling and lubrication, which ensures good machinability at low specific energy consumption. However, the conventional cutting fluids pose serious health hazards to operators along with environmental pollution. Furthermore, the cost incurred in the purification and disposal of cutting fluids is sometimes greater than the cutting tool. Grinding process involves higher specific energies, which give rise to high heat generation in grinding region and the penetration ability of liquid grinding fluids (flood cooling) into the contact zone becomes poor. Therefore, attention towards alternative methods of cutting fluid application has bolstered owing to the operational and environmental cost pressures. Various studies have shown that a prominent substitute to flood cooling in grinding is minimum quantity lubrication (MQL) grinding or near dry grinding (NDG). In this study …",15,"State of art on minimum quantity lubrication in grinding process
M Bhuyan, A Sarmah, KK Gajrani, A Pandey… - Materials Today: Proceedings, 2018
Cited by 15 Related articles All 3 versions","{'2020': 3, '2021': 2, '2022': 6, '2023': 4}",19638-19647,,,Materials Today: Proceedings,,,,,
Graph-Based Depth Estimation in a Monocular Image Using Constrained 3D Wireframe Models,"MJ Singh, AK Chakraborty, Mainak Bandyopadhyay",2018,,,,,"[en] A test facility to establish a 2 MW H neutral beam facility is under development at Institute for Plasma Research, Bhat, Gandhinagar. It consists of an 8 driver based cesiated RF ion source with a 1.8 mx 0.6 m extraction area, coupled to a 100 keV extractor and accelerator system. 6 MW of beam, 100 keV 60A, from the source is neutralized in a 4 channel 3 m long gas neutralizer followed by a 1 m long electrostatic residual ion dump to separate 2.4 MW of the ionic component of the beam. The remaining 3.6 MW of the neutral beam is characterized on a 2 arm calorimeter. The components are housed in a 9 m long∼ 4 m diameter vacuum vessel connected to a duct and lined with 12 cryopumps to provide a total pumping speed of 10 6 l/s. In addition to establishing multi ampere ion beams from large sources, the unique study on a total beam transport length of∼ 20 m from the ion source will help to estimate beam losses due to direct interception, inherent beam divergence and mechanical misalignments, and re-ionisation due to neutral interaction with the residual gas. A 2 nd calorimeter helps characterize the beam at the end of flight path. Studies on the test bed also benchmark ITER requirements for the Diagnostic Neutral Beam (DNB).(author)",0,"A test facility for production and characterization of 60 A, 100 KeV beam produced from a single, large RF ion source
MJ Singh, AK Chakraborty, M Bandyopadhyay - Proceedings of the eighth DAE-BRNS Indian particle …, 2018",{},,,Proceedings of the eighth DAE-BRNS Indian particle accelerator conference,,,,,,
An Unsupervised Approach for Estimating Depth of Outdoor Scenes from Monocular Image,"AJ Deka, P Bharathi, K Pandya, M Bandyopadhyay, M Bhuyan, RK Yadav, H Tyagi, A Gahlaut, A Chakraborty",2018,,,IAEA-CN--258,,"ROBIN (RF Operated Beam source in India for Negative Ion research) is a negative H-ion source, which is operational in IPR, Gandhinagar. For measurement of various beam parameters such as beam energy, beam divergence, beam homogeneity and the stripping losses, Doppler Shifted spectroscopy diagnostics was established on ROBIN. The beam properties are studied by varying the source pressure (0.3-0.6 Pa), RF power (30 kW-60kW), tank pressure (7 x 10-4 mbar–5 x 10-5 mbar), the total applied voltage in the range of 7kV-24kV has been carried out. The beam divergence and stripping losses are estimated from the line profiles analysis of the observed Doppler shift spectrum. The homogeneity of the beam in the vertical direction has been evaluated by using eight lines of sight located at two symmetrical locations in the ROBIN test vessel. The effect of space charge compensation on beam divergence has also been studied by varying the test stand pressure. The observed beam divergence is found to be lower at lower applied voltages and started increasing monotonically with an increase in voltage. The beam divergence is found to be decreasing with increase in RF power. The stripping losses are higher at lower voltages and start decreasing with increase in applied voltage. The beam is more uniform in the upper portion in comparison with the lower portion. In this present work, the parametric evaluation of the beam properties is presented in detail and results are discussed.",0,"Evaluation of Beam Properties of a Negative Hydrogen Source by Doppler Shift Spectroscopy
AJ Deka, P Bharathi, K Pandya, M Bandyopadhyay… - 2018
Related articles All 3 versions",{},,,,,,,,,
Multi-level uncorrelated discriminative shared Gaussian process for multi-view facial expression recognition,"M Bandyopadhyay, AJ Deka, D Mukhopadhyay, P Singh, D Borah, H TYAGI, RK YADAV, M BHUYAN, P BHARATHI, AK CHATTOPADHYAY, K PANDYA, MJ SINGH, A CHAKRABORTY",2018,"27th IAEA Fusion Energy Conf. IAEA CN–258, FIP/P8–17",,,,"The performance of a negative ion based neutral beam injector (NNBI) is mainly determined by the characteristics of a negative hydrogen ion (H-) source and its neutralization efficiency. Therefore, it is necessary to monitor the performance of the ion source and its beam through systematic characterization for its safe operation. In this regard, a judicious choice of various diagnostics based on optical, electrical, calorimetric and thermal techniques is required. A number of diagnostics with versatile nature are being developed under NNBI R&D program in Indian Test Facility (INTF). Independent prototype experimental efforts have been carried out to establish those different diagnostics. For ion source plasma characterization, electrical probes (EP), optical emission spectroscopy (OES) and cavity ring down spectroscopy (CRDS) are mainly envisaged and developed apart from standard electrical measurements in RF and DC power supply circuits for monitoring. Beam current, beam power and its deflection are monitored mainly by thermocouple based thermal or calorimetric diagnostics attached on different beam line components along with the electrical measurements in different power supply circuits including residual ion deflection (RID) circuit. In addition, beam characterization in terms of divergence, stripping and beam profile would be studied using Doppler Shift Spectroscopy (DSS), optical emission Tomography (TOMO). Some of them are already integrated and tested in available operational plasma experimental setups: ROBIN and HELEN-I. The DSS system with multiple lines of sight (LOS)(blue-shifted and red-shifted) is integrated in ROBIN …",2,"Development of Various Diagnostics for NNBI Programme in IPR
M Bandyopadhyay, AJ Deka, D Mukhopadhyay… - 27th IAEA Fusion Energy Conf. IAEA CN–258, FIP/P8 …, 2018
Cited by 2 Related articles All 3 versions",{},,,,,,,,,
"Segregation of meaningful strokes, a pre‐requisite for self co‐articulation removal in isolated dynamic gestures","Manoj Kumar Bhuyan, Koji Sugioka",2018,Advances in the Application of Lasers in Materials Science,,,Springer International Publishing,"The distinctive features of ultrafast lasersUltrafast lasers, such as the extremely high peak intensity associated with their ultrashort pulse duration, enable the machiningMachining of materials whose band gaps are larger than the photon energies of the laser due to the nonlinear nature of photon absorption by matter. As a result, processing of transparent materials at micro and nanoscaleNanoscale levels can be achieved using ultrafast lasers, which is a matter of particular relevance in the fields of electronics, healthcare, photonics, and energy harvesting. By using ultrafast laser beams that possess a standard GaussianGaussian spatial profile, and by exploiting nonlinear light-matter interaction confinement schemes, fabrication resolutions have declined to just a few tens of nanometers on the surface, and a few hundreds of nanometers inside most transparent materials. However, it is difficult to maintain such …",4,"Ultrafast laser micro and nano processing of transparent materials—from fundamentals to applications
MK Bhuyan, K Sugioka - Advances in the Application of Lasers in Materials …, 2018
Cited by 4 Related articles All 4 versions",{},149-190,,,,,,,,
Improved endoscopic polyp classification using GAN generated synthetic data augmentation,"Yuji Iwahori, Yohei Takada, Tokiko Shiina, Yoshinori Adachi, Manas Kamal Bhuyan, Boonserm Kijsirikul",2018/1/1,Procedia Computer Science,126.0,,Elsevier,This paper proposes a new defect classification method of electronic board using Dense SIFT and CNN which can represent the effective features to the gray scale image. Proposed method does not use any reference image and effective keypoints are detected using Dense SIFT on the defect candidate region. Removing the feature points except defect region and Bag of Features are used to represent the histogram features. Dense SIFT and SVM are used to judge defect or not. CNN is further introduced to classify true or pseudo defect. Classification accuracy was evaluated and effectiveness of the proposed method is shown.,10,"Defect classification of electronic board using dense SIFT and CNN
Y Iwahori, Y Takada, T Shiina, Y Adachi, MK Bhuyan… - Procedia Computer Science, 2018
Cited by 10 Related articles All 2 versions","{'2020': 2, '2021': 3, '2022': 4, '2023': 1}",1673-1682,,,,,,,,
Optical flow guided motion template for hand gesture recognition,"Mayank Golhar, Yuji Iwahori, Manas Kamal Bhuyan, Kenji Funahashi, Kunio Kasugai",2018,,,,Springer International Publishing,"A novel blood vessel extraction methodology is proposed in this work. The blood delineation pipeline consists of three stages. In the first stage, a high-level classification of the input endoscopic images is done into four classes, based on the blood vessel information and dye content. For obtaining the classification features two methodologies are used, a ResNet inspired Convolutional Neural Network and a collection of hand picked feature extractors which capture various colour, edge and texture based class information. The features obtained from both are then combined and are fed into an SVM for classification. In the second stage, the classified image containing blood vessel information is then processed with Frangi Vesselness filter for blood vessel extraction. However, it is observed that many non-blood vessel edges are also erroneously detected as blood vessels. To decrease this misdetection, two …",7,"Blood vessel delineation in endoscopic images with deep learning based scene classification
M Golhar, Y Iwahori, MK Bhuyan, K Funahashi… - Pattern Recognition Applications and Methods: 6th …, 2018
Cited by 7 Related articles All 2 versions","{'2021': 6, '2022': 1}",147-168,"Pattern Recognition Applications and Methods: 6th International Conference, ICPRAM 2017, Porto, Portugal, February 24–26, 2017, Revised Selected Papers 6",,,,,,,
Hand gesture localization and classification by deep neural network for online text entry,"Ankur Deka, Yuji Iwahori, Manas Kamal Bhuyan, Pradipta Sasmal, Kunio Kasugai",2018,BIOIMAGING,2018.0,,,"This paper proposes a model for 3D reconstruction of polyp in endoscopic scene. 3D shape of polyp enables better understanding of the medical condition and can help predict abnormalities like cancer. While there has been significant progress in monocular shape recovery, the same hasn’t been the case with endoscopic images due to challenges like specular regions. We take advantage of the advances in shape recovery and suitably apply these with modifications to the scenario of endoscopic images. The model operates on 2 nearby video frames. ORB features are detected and tracked for computing camera motion and initial rough depth estimation. This is followed by a dense pixelwise operation which gives a dense depth map of the scene. Our method shows positive results and strong correspondence with the ground truth.",2,"Dense 3D Reconstruction of Endoscopic Polyp.
A Deka, Y Iwahori, MK Bhuyan, P Sasmal, K Kasugai - BIOIMAGING, 2018
Cited by 2 Related articles All 2 versions",{'2019': 2},159-166,,,,,,,,
Deep network-based hand gesture recognition using optical flow guided trajectory images,"Amit Vishwakarma, Manas Kamal Bhuyan, Yuji Iwahori",2018,,,,Springer Singapore,"Multimodal medical image fusion techniques are utilized to fuse two images obtained from dissimilar sensors for obtaining additional information. These methods are used to fuse computed tomography (CT) images with magnetic resonance images (MRI), MR-T1 images with MR-T2 images, and MR images with single photon emission computed tomography (SPECT) images. In proposed method, nonsubsampled shearlet transform (NSST) is used for decomposition of source images to attain the low-frequency and high-frequency bands. The low-frequency bands are fused using weighted saliency-based fusion criteria, and high-frequency bands are fused with the help of phase stretch transform (PST) features. Applying inverse NSST operation, fused image is obtained. The results show the proposed method produces better results compared to state-of-the-art methods.",1,"An efficient algorithm for medical image fusion using nonsubsampled shearlet transform
A Vishwakarma, MK Bhuyan, Y Iwahori - Proceedings of 2nd International Conference on …, 2018
Cited by 1 Related articles All 3 versions",{'2020': 1},243-252,"Proceedings of 2nd International Conference on Computer Vision & Image Processing: CVIP 2017, Volume 1",,,,,,,
Vision Based Communicator,"Yuji Iwahori, Tomoya Suda, Kenji Funahashi, Hiroyasu Usami, Aili Wang, MK Bhuyan, Kunio Kasugai",2018,Computational Science/Intelligence and Applied Informatics,,,Springer International Publishing,"Endoscope isIwahori, YujiusedSuda, TomoyatoFunahashi, KenjiremoveUsami, HiroyasutheWang, Aili polyp inBhuyan, M. K.theKasugai, Kunio medical diagnosis. Absolute size of polyp has been usually estimated by medical doctor with their empirical judgement using endoscope. However this estimation depends on the experience and skill of medical doctor and it is sometimes necessary to use the medical thread with known size for estimating the size of polyp. This paper aims to help medical doctor by proposing a new approach to estimate the size and 3D shape of polyp as a medical supporting system. This proposed approach uses blood vessel as a target with a known size to estimate the absolute size of polyp. Using sequential two images make it possible to estimate the movement of endoscope and reflectance parameter. The idea of using blood vessel is the key idea of this paper, where color information …",6,"Shape recovery of polyp from endoscope image using blood vessel information
Y Iwahori, T Suda, K Funahashi, H Usami, A Wang… - Computational Science/Intelligence and Applied …, 2018
Cited by 6 Related articles All 4 versions",{},165-184,,,,,,,,
Occlusion robust object tracking with modified particle filter framework,"Tokiko Shiina, Yuji Iwahori, Yohei Takada, Boonserm Kijsirikul, MK Bhuyan",2018,Computer and Information Science,,,Springer International Publishing,"This paper proposes a method to discriminate the defect on the electronic board and the foreign matter attached to the circuit. The purpose of this paper is to reduce the misclassification of the true defect to the pseudo defect in the automatic classification approach. Proposed method improves the classification accuracy under the multiple illuminating conditions. Each result of multiple classifiers is used for the voting process and incorrect classification is reduced by introducing the classification into three classes of true defect, pseudo detect, and difficult defect. The approach evaluates the correct ratio for the circuit board image based on actual defects are included and the effectiveness of the proposed approach is confirmed via the experiment.",3,"Reducing misclassification of true defects in defect classification of electronic board
T Shiina, Y Iwahori, Y Takada, B Kijsirikul, MK Bhuyan - Computer and Information Science, 2018
Cited by 3 Related articles All 5 versions",{},77-92,,,,,,,,
Accelerometric method for cuffless continuous blood pressure measurement,"Hiroyasu Usami Yuji Iwahori, Boonserm Kijsirikul, MK Bhuyan, Aili Wang, Kunio Kasugai",,,,,,"Obtaining polyp size and shape is important for the medical diagnosis. In this paper, a 3-D shape reconstruction of computer vision technology is introduced in the medical diagnosis for this purpose. Some approaches based on Shape from Shading have been proposed for polyp in endoscope image. Previous approaches need some parameters such as depth parameter Z from endoscope lens to the surface point and reflectance parameter C. In the endoscope image, it is important to obtain these parameters for accurate polyp shape recovery. This paper proposes a new approach for obtaining parameters Z and C from one endoscope image where a medical suture is taken. A medical suture is used to estimate the horizontal plane locally and an observation model of medical suture is used with the horizontal plane. Two light sources endoscope observation system is assumed based on the actual endoscope for improving the accuracy of the polyp shape recovery. Experiments are conducted to validate the proposed approach.",0,"Obtaining Shape from Endoscope Image Using Medical Suture with Two Light Sources
HUY Iwahori, B Kijsirikul, MK Bhuyan, A Wang…
Related articles",{},,,,,,,,,
Low Cost Data Glove for Hand Gesture Recognition by Finger Bend Measurement,"Masaya Abe, Shoko Abe, Kenro Aihara, Masashi Akahori, Hiroshi Akimori, Hirohisa Aman, Yo Amano, Sousuke Amasaki, Shogo Anda, Shin-ichi Aoqui, Taisei Aoyama, Yutaka Arakawa, Kazutami Arimoto, Daisaku Arita, Kouki Asakawa, Stéphane Baudelocq, MK Bhuyan, Nina Bonderup Dohn, Ekkarat Boonchieng, Mark Burgin, Anusorn Chaikaew, Chih-Kai Chang, Pin-Chen Chen, Y Chen, Ying Dai, Dipta Das, Shintaro Deguchi, Toshinori Deguchi, Chihiro Ejima, Nahid Emad, Shun Emoto, Teruo Endo, Shota Fujii, Takumi Fujimoto, Makoto Fukumoto, Iori Fukumura, Naoki Fukuta, Kenji Funahashi, Kohei Furuya, Haoran Gan, Yuichi Goto, Manami Hagihara, Akane Hagimoto, R Hamada, Ryunosuke Hamada, Toshimitsu Hamada, Takahiro Hara, Ryo Haruna, Shinichiro Haruyama, Kiyota Hashimoto, Wakana Hashimoto, Takashi Hatashima, Tessai Hayama, Hidehiko Hayashi, Hisashi Hayashi, Takahiro Hayashi, Shun Higashikawa, Masanori Hirano, Ryuichi Hirano, Kouichi Hirata, Toru Hirono, Daiki Hiruma, Iba Hitoshi, Teerayut Horanont, Masaaki Hori, Noriko Horibe, Hiroshi Hoshino, Takaaki Hosoda, Jun Hosoya",,,,,,"Author Index Page 1 Author Index Abe, Masaya 293 Abe, Shoko 397, 535 Aihara, Kenro 13 Akahori, Masashi 675 Akimori, Hiroshi 124 Aman, Hirohisa 684 Amano, Yo 657 Amasaki, Sousuke 684 Anda, Shogo 83 Aoqui, Shin-ichi 647 Aoyama, Taisei 49 Arakawa, Yutaka 128 Arimoto, Kazutami 684 Arita, Daisaku 272 Asakawa, Kouki 220 Baudelocq, Stéphane 679 Bhuyan, MK 331 Bonderup Dohn, Nina 234 Boonchieng, Ekkarat 495 Burgin, Mark 144 Chaikaew, Anusorn 495 Chang, Chih-Kai 208 Chen, Pin-Chen 208 Chen, Y. 641 Dai, Ying 348 Das, Dipta 424 Deguchi, Shintaro 39 Deguchi, Toshinori 325 Ejima, Chihiro 313 Emad, Nahid 679 Emoto, Shun 331 Endo, Teruo 561, 574 ES Alsafi, Haedar 319 Fujii, Shota 95 Fujimoto, Takumi 154 Fujishima, Keigo 449 Fukuda, Satoshi 71, 150 Fukumoto, Makoto 587, 593 Fukumura, Iori 339, 663, 675 Fukuta, Naoki 230, 424, 686 Funahashi, Kenji 331 Furuya, Kohei 341 …",0,"2022 12th International Congress on Advanced Applied Informatics (IIAI-AAI)| 978-1-6654-9755-8/22/$31.00© 2022 IEEE| DOI: 10.1109/IIAIAAI55812. 2022.00144
M Abe, S Abe, K Aihara, M Akahori, H Akimori, H Aman…
All 2 versions",{},,,,,,,,,
A Novel Global Motion Estimation and Compensation Framework in Compressed Domain for Sign Language Videos,"Kousuke Abe, Soichiro Aihara, Mayu Akaki, Toshio Akimitsu, Masanori Akiyoshi, Eriko Amano, Ren Ando, Hideki Andoh, Takaaki Aoki, Reina Arakawa, Shunsuke Araki, Kazutami Arimoto, Yoshikazu Asada, Yoshito Atsuta, Kenya Bannaka, MK Bhuyan, He-Xun Cai, B Chandra, Chih-Hung Chang, Wen-Chien Chang, Guan-Yu Chen, Kuan-Lin Chen, Nasen Chen, Pei-Chun Chen, Wen-Lin Chen, Xian-Xu Chen, Lu-Chia Chien, Shen-Hung Chou, Kendal Cousy, Igor de Almeida, Tenzin Dechen, Tenzin Dhonden, Zhuofei Ding, Vuong Hong Duc, Satoshi Fujii, Kotoka Fujimori, Katsuhide Fujita, Tomoki Fukuba, Kazuhiko Fukuda, Shinji Fukui, Yuto Fukui, Junichi Fukumoto, Yoshiki Fukunaga, Hidemitsu Furukawa, Masako Furukawa, Yoshiki Furukawa, Naka Gotoda, Junzo Hagimoto, Kenji Hagiwara, Kazuo Hamai, Eiichi Hanyuda, Ryuta Hashidate, Kai Hashimoto, Tessai Hayama, Hidehiko Hayashi, Hisashi Hayashi, Yuji Hayashi, Ken Hidema, Kenji Hiranabe, Yuiko Hirashima, Sachio Hirokawa, Hideo Hirose, Masashi Honda, Osamu Honda, Sadao Honda, Wei-Jiun Hong, Satoru Hori, Noriko Horibe",,,,,,Presents an index of the authors whose articles are published in the conference proceedings record.,0,"2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI)| 978-1-7281-7397-9/20/$31.00© 2020 IEEE| DOI: 10.1109/IIAI-AAI50415. 2020.00181
K Abe, S Aihara, M Akaki, T Akimitsu, M Akiyoshi…",{},,,,,,,,,
Image mosaicking using improved auto-sorting algorithm and local difference-based harris features,"Kangkana Bora, Lipi B Mahanta, MK Bhuyan",,,,,,"Pattern recognition and classification of dysplasia of cervical cells is an ongoing crucial research. The main objective of this work is to develop a comprehensive model for reallife application for cervical dysplasia, with highest degree of accuracy and lowest computation time. The study first builds the model required for training and testing the system to classify the dysplasia. Three different color models, three transforms each with different filters, two feature representation schemes and two well-known classification techniques are applied in combination with each other to identify the best combination of “transform (filter)⇒ color model⇒ feature representation⇒ classifier”. Extended experiments on two databases, one indigenous, the other public, proved that the NSCT based classification perform highly satisfactory for both the databases and that the complete model proposed gives the most satisfactory result till date.",0,"Automated cervical dysplasia detection: a multi-resolution transform based approach
K Bora, LB Mahanta, MK Bhuyan
Related articles",{},,,,,,,,,
Two-stream fusion model for dynamic hand gesture recognition using 3d-cnn and 2d-cnn optical flow guided motion template,"Yohei Takada Tokiko Shiina Hiroyasu Usami, Yuji Iwahori, MK Bhuyan",,,,,,"This paper proposes a method for defect detection and classification of electronic circuit board by extracting keypoints without reference images. The final purpose is to distinguish a problematic defect, such as disconnection from a non-defect, dust in the manufacturing process et al. Keypoints are extracted from the electronic circuit board image, then a patch image is cropped using obtained keypoint information, such as the position. The cropped images are used as input to CNN (Convolutional Neural Network) and 4096-dimensional features are obtained in the final layer of the full connected layers. SVM (Support Vector Machine) is introduced for learning and classification using CNN features. The effectiveness of the proposed method is confirmed through a detection experiment using actual electronic circuit board images containing defects and by comparing the results with the previous method.",0,"Defect Detection and Classification of Electronic Circuit Boards Using Keypoint Extraction and CNN Features
YTTSH Usami, Y Iwahori, MK Bhuyan
Related articles",{},,,,,,,,,
