Title,Authors,Publication date,Journal,Volume,Issue,Publisher,Description,Total citations,Scholar articles,Citation Count,Pages,Book,Conference
TWO PHASE STUDY FOR THE REMOVAL OF ARSENIC FROM ITS AQUEOUS SOLUTION BY LIQUID MEMBRANE SEPARATION TECHNIQUE,"S Sarkar, P Saha",,,,,,,0,"TWO PHASE STUDY FOR THE REMOVAL OF ARSENIC FROM ITS AQUEOUS SOLUTION BY LIQUID MEMBRANE SEPARATION TECHNIQUE
S Sarkar, P Saha
Related articles",{},,,
"Misra, S.",P Saha,,,,,,"In general, a process demonstrates oscillatory response when it has at least one pair of complex poles, a second order underdamped process is the simplest example of such process. However, the real life processes are mostly nonlinear in nature and control of such oscillating nonlinear system becomes quite a challenging task. Mechanical processes such as crane and trolley and some chemical processes exhibit such nonlinear oscillatory dynamics. On the other hand, a Model Predictive Controller (MPC) is one of the most useful inventions in the field of control engineering that finds its application in the field of robotics, aerospace and also in chemical process industries. MPC is particularly efficient when process constraints are to be handled, such is the case for safety regulations, while implementing control action. Due to its immense prospect, researchers of both academic and industrial field show great interest …",0,"Misra, S.
P Saha
Related articles",{},,,
COMPARATIVE EXTRACTION STUDY OF ENVIRONMENTALLY BENIGN SOLVENT OVER TRADITIONAL SOLVENT,"SK Mondal, P Saha",,,,,,"In this paper, a comparative study of liquid-liquid extraction of hexavalent chromium (Cr (VI)) between environmentally benign vegetable oil and traditional organic solvent as liquid membrane (LM) using different carrier have been performed. The main aim of this study is to verify the extraction performance of green solvent instead of using conventional organic solvent with different carriers. So, it will encourage the selection of green solvent for separation of heavy metal from industrial effluent (wastewater). As we know major traditional organic solvents employed for the separation purpose are usually inflammable and toxic to the human and the environment (Chakrabarty, 2010). Moreover, the high cost of the process due to large amount of solvent consumption for trace amount of solute recovery and hazardous nature of the most organic solvents are the major drawbacks of the solvent extraction method. Hence, it is …",0,"COMPARATIVE EXTRACTION STUDY OF ENVIRONMENTALLY BENIGN SOLVENT OVER TRADITIONAL SOLVENT
SK Mondal, P Saha
Related articles",{},,,
DEVELOPMENT AND MODELLING OF AMINE BASED ABSORPTION PROCESS FOR CO2 CAPTURE,"T Ramesh, BP Mandal, PK Saha, S Gumma",,,,,,,0,"DEVELOPMENT AND MODELLING OF AMINE BASED ABSORPTION PROCESS FOR CO2 CAPTURE
T Ramesh, BP Mandal, PK Saha, S Gumma
Related articles",{},,,
Mixed H2/H∞ Model Predictive Control,"P Aadaleesan, Prabirkumar Saha",,,,,,"Although the use of mixed H2/H∞ controller in feedback control system is a decade old idea, it remains relatively unexplored in the paradigm of model predictive control. Mixed H2/H∞ control design is of interest to control engineers because it combines the merits of both the H2 and H∞ robust control design. Robust control theory, especially H∞ control, which deals with making corrective control action against any arbitrary but bounded adverse conditions, finds direct analogy in game theory (Basar and Olsder, 1999). Optimal control design with H2 criterion, especially with quadratic cost function such as linear quadratic Gaussian (LQG) controller, is much popular in the control community. On the other hand, mixed H2/H∞ control methods became popular in the control community, since it has been introduced (Barnstein and Haddad, 1989), owing to its possible robust stability without compromising closed-loop …",0,"Mixed H2/H∞ Model Predictive Control
P Aadaleesan, P Saha
Related articles",{},,,
Mixed H 2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes,"Aadaleesan Pakkirisamy, Prabirkumar Saha",,,,,,"In the present work, we introduce the use of Mixed H 2/H∞ control design in the regime of model predictive control (MPC) for unstable and non-minimum phase constrained process. Although the use of mixed H 2/H∞ control design in feedback control system design is a decade old idea, it remains relatively unexplored in the paradigm of model predictive control [5].
Mixed H 2/H∞ control design [1-3] is of interest to control engineers because it combines the merits of both the H 2 and H∞ robust control design. The mixed H 2/H∞ control design problem evolves as a cross-coupled Riccati equation [2], for which no effective numerical solving algorithm exists. However, linear matrix inequality (LMI) techniques could be employed to solve such problems [3].",0,"Mixed H 2/H∞ Model Predictive Control for Unstable and Non-Minimum Constrained Processes
A Pakkirisamy, P Saha
Related articles",{},,,
EXPERIMENTAL EVALUATION OF IMPROVED IMC STRATEGIES FOR UNCERTAIN NONLINEAR PROCESSES,"Qiuping Hu, Gade Pandu Rangaiah, Prabirkumar Saha",,,,,,"This paper presents experimental evaluation of adaptive internal model control (IMC) and augmented IMC, which improve both the performance and robustness of the IMC for nonlinear processes in the presence of process-model mismatch. The results obtained for pH control of a highly nonlinear neutralization process in the laboratory confirm the capability of adaptation and/or augmentation in significantly improving the control performance of the standard IMC under practical conditions of unmeasured disturbances.",0,"EXPERIMENTAL EVALUATION OF IMPROVED IMC STRATEGIES FOR UNCERTAIN NONLINEAR PROCESSES
Q Hu, GP Rangaiah, P Saha
Related articles",{},,,
Separation of Lignosulfonate from Aqueous Solution Using Liquid Membrane,"Kabita Chakrabarty, K Vamsy Krishna, Prabirkumar Saha, Aloke Kumar Ghoshal",,,,,,"The pulp and paper industry consumes a large volume of water and subsequently discharges enormous amount of effluent containing organic and inorganic pollutants such as lignosulfonate, sucrose, polyose, cooking chemicals and silica [1]. Lignosulfonate is a polydispersed polyelectrolyte that has a spherical macromolecular structure [2]. Extensive uses of commercial grade lignosulfonate include production of vanillin, animal feed pellet binders, dispersant for dye, pesticides, carbon black etc. It has applications in water treatment and industrial cleaning operations too. Attempts to utilize the paper mill waste stream as a source of lignosulfonate requires an efficient separation technology which will ensure effective separation on one hand and clear reusable water on the other.
Howard process is a well known industrial unit for separation of lignosulphonate from aqueous solution however it uses huge quantity of lime for the separation. Several other methods exist such as ultra filtration, ion-exchange, dialysis, electro dialysis and extraction with amines. Nevertheless, they are still in their lab-scale operation stage and are yet to be economically viable for industrial applications. Membrane technology has emerged out as a practical alternative for concentration and purification of macromolecular species in aqueous solutions [1]. Although its application in paper industries is still not possible, many researchers are putting their consistent effort to develop an efficient membrane separation process [3-8].",0,"Separation of Lignosulfonate from Aqueous Solution Using Liquid Membrane
K Chakrabarty, KV Krishna, P Saha, AK Ghoshal
Related articles",{},,,
"CHEMCON–05, New Delhi","A Subramani, P Saha",,,,,,"The Vinyl Acetate Monomer Process is a plantwide problem, of interest to both industry and Control research studies, owing to its important final products and inherent nonlinearities respectively. A number of solutions based on Model Predictive Control have been proposed in the past. In this paper, we propose a Laguerre functions based solution for the black box modeling of the process. Laguerre functions, owing to their orthonormality, offer a truncated series approximation of satisfactory accuracy of the process transfer functions. We show that the similarity between the output produced by the process and the derived model satisfies the desired accuracy. For this purpose, we use the model designed by a previous researcher in MATLAB®.",0,"CHEMCON–05, New Delhi
A Subramani, P Saha
Related articles",{},,,
Modeling of Large Scale System using Laguerre Model,"Ashwin Subramani, Prabirkumar Saha",,,,,,"Traditionally, the control problem of large scale systems is segmented into series of smaller control problem around the individual unit operations of the process. A successful operation of such process would call for large inventories, high capital cost, huge storage space etc.(Lyman and Georgakis, 1995). The purpose of studying the modeling issues of a large scale process is to design an efficient overall structure for the coordinated control of several important variables of the process, including the overall plant throughput and the product quality.",0,"Modeling of Large Scale System using Laguerre Model
A Subramani, P Saha
Related articles",{},,,
